Code,Name,Symptoms,Treatments
98,Недостаток использования бензодиазепина,"Седационное расстройство, расслабление, снижение тревоги, сонливость, слабая координация, нарушение памяти, симптомы отключения (такие, как перенапряжение, бессонница, дрожь) при попытке остановить или сократить использование бензодиазепина, дальнейшее использование, несмотря на негативные последствия (такие, как проблемы в отношениях, риски для здоровья)","Постепенное удаление бензодиазепинов под медицинским наблюдением, консультирование или терапия (такие, как когнитивная и поведенческая терапия), группы поддержки, устранение основных психологических или социальных факторов, изменение образа жизни, решение проблем, связанных с сопутствующими психическими заболеваниями, стратегии снижения вреда, постоянный мониторинг и поддержка"
99,Нарушение режима использования галлюциногена,"Изменение восприятия реальности, визуальных или слуховых галлюцинаций, изменений в сенсорных ощущениях, интроспективных мыслях, чувствах связи или разрыва, тревоги или паранойи (в некоторых людях), воспоминаний (в некоторых людях)","Консультирование или терапия (такие, как когнитивная и поведенческая терапия, мотивационные собеседования), группы поддержки, рассмотрение основополагающих психологических или социальных факторов, стратегии уменьшения вреда, постоянный мониторинг и поддержка"
100,"Седативное, гипнотическое или аксиолитическое расстройство использования","Седационное расстройство, расслабление, снижение тревоги, сонливость, слабая координация, нарушение памяти, симптомы отключения (такие, как перенапряжение, бессонница, дрожь) при попытке остановить или сократить использование, дальнейшее использование, несмотря на негативные последствия (такие, как проблемы в отношениях, риски для здоровья)","Постепенное удаление седативных, гипнотических или аксиолитических веществ под медицинским наблюдением, консультированием или терапией (таких, как когнитивная и поведенческая терапия), группы поддержки, устранение основных психологических или социальных факторов, изменение образа жизни, решение проблем, связанных с сопутствующими психическими заболеваниями, стратегии снижения вреда, постоянный мониторинг и поддержка"
101,Послеродовая депрессия,"Постоянные чувства печали, пустоты или безнадежности, частые крики, раздражение, утрата интереса или удовольствия к занятиям, трудности, связанные с ребёнком, изменения в аппетитах или снах, подавляющая усталость, чувство вины или никчемности, трудности с концентрацией или принятием решений, мысли о себе или вреде для ребенка","Психотерапия (такие, как когнитивная и поведенческая терапия или межличностная терапия), группы поддержки или консультации со стороны сверстников, антидепрессантные препараты (если они рекомендованы специалистом в области здравоохранения), гормональная терапия (в некоторых случаях), изменения в образе жизни (такие, как упражнение, здоровое питание, гигиена сна), вовлечение партнера или семьи в уход за ребенком, социальная поддержка и понимание со стороны семьи и друзей, регулярное наблюдение и контроль со стороны медицинских работников"
102,Коронарный атеросклероз,"Боль в груди или дискомфорт (ангина), слабое дыхание, усталость, неправильное сердцебиение, головокружение, тошнота, пот, челюсть или боль в руке (в некоторых случаях), сердечный приступ (когда коронарная артерия полностью заблокирована)","Изменения в образе жизни (такие, как сердечная диета, регулярные упражнения, регулирование веса, прекращение курения), лекарства (такие, как аспирин, лекарства для снижения уровня холестерина, бета-блокаторы, блокаторы каналов кальция, нитроглицерин), процедуры (такие, как ангиопластия и стратирование, пересадка коронарной артерии), сердечная реабилитация, регулирование других факторов риска (таких, как высокое кровяное давление, диабет)"
103,Спондилит,"Хроническая боль в спине и жесткость, особенно утром или после периодов бездействия, ограниченный диапазон движения в позвоночнике, усталость, воспаление и боль в других суставах (таких, как бедра, плечи, колени), дискомфорт или боль в шее, трудности с поддержанием надлежащей осанки, нежность или опухоль в затронутых районах, покалывание или опухоль в конечностях в тяжелых случаях","Лекарства (такие, как нестероидные противовоспалительные препараты, кортикостероиды, противореактивные препараты, корректирующие заболевания), физиотерапия (включая растягивающие и усиливающие упражнения), теплотерапия или холодная терапия, методы коррекции осанки, изменения образа жизни (такие, как регулярные упражнения, регулирование веса), вспомогательные устройства (такие, как брекеты или опоры), хирургическое вмешательство (в редких случаях), методы обезболивания (такие, как иглоукалывание или транскутановая стимуляция электрического нерва)"
104,Pituitary Adenoma,"Головные боли, проблемы зрения (такие, как размытое зрение или потеря периферического зрения), гормональные диспропорции (такие, как чрезмерное производство или недостаток конкретных гормонов), усталость, увеличение веса или потеря, менструальные нарушения, бесплодие, эрективная дисфункция, аномалии роста детей, изменения настроения, когнитивные расстройства","Наблюдение и мониторинг (для небольших, несекретных опухолей, которые не вызывают значительных симптомов), лекарства (для устранения гормональных диспропорций или сокращения размера опухоли), хирургия (трансфгеноидная хирургия для удаления опухоли), радиационная терапия (в случаях, когда хирургия невозможна или для лечения остаточных или повторяющихся опухолей), адресная терапия (в случаях агрессивных или устойчивых опухолей), гормональная терапия (в случае необходимости), регулярные последующие мероприятия и мониторинг для оценки роста опухоли и уровней гормона, устранение сопутствующих осложнений или гормональных недостатков"
105,Утериновые фиброиды,"Тяжелые или продолжительные менструальные периоды, боль в тазе или давление, частое мочеиспускание, трудности с опорожнением мочевого пузыря, запор, боль в спине, боль в ноге, брюшная полость или матка, бесплодие или периодические выкидыши (в некоторых случаях)","внимательное ожидание (для небольших или асимптомных фиброидов), лекарства (такие, как гормональные противозачаточные средства, агонисты GnRH, прогестины-выпускающие внутриматочные устройства), минимально инвазивные процедуры (такие, как эмболизация матки, миомэктомия), гистероскопические процедуры (такие, как гистероскопическая миомэктомия или эндомезия), хирургическое удаление фиброидов (таких, как лапароскопическая или роботизированная мионтомия, гистерэктомия), фокусированная ультразвуковая абляция, гормональная терапия, альтернативные подходы (такие, как акупункция или травяные средства)"
106,Идиопатическое неменструальное кровотечение,"Ненормальное кровотечение влагалища вне менструального периода, непредсказуемые случаи кровотечения, кровотечение после полового акта, кровотечение после менопаузы, обнаружение или легкое кровотечение между периодами, длительное или сильное кровотечение","Оценка с целью устранения коренных причин (таких, как гормональные дисбалансы, полипы, инфекции или маточные аномалии), гормональная терапия (такие, как противозачаточные таблетки, гормональная заместительная терапия), негормональные препараты (такие, как транаксамичная кислота), дилетация и излечение (если это необходимо для удаления излишних тканей или изучения причин), эндомотермальная абляция (в некоторых случаях), гистероскопия (для изучения матки), хирургия (в редких случаях), консультирование или поддержка эмоционального благополучия"
107,Шалазион,"Больный, красный кусок или опухоль на веки, обычно на верхнем веку, чувствительность к свету, размытое зрение (если шалезион влияет на линию зрения), мягкий дискомфорт, нежность, локальное воспаление и опухоль","Теплое сжатие (с целью облегчить и стимулировать дренирование заблокированной масляной железы), легкий массаж пострадавшего района, гигиена в виде глаз (сохранение зоны в чистоте), смазочные капли для глаз, тематические антибиотические мазки (если существует риск заражения), инъекции кортикостероидов (для более крупных или устойчивых чалазий), хирургическое дренирование или эксцизия (в редких случаях или если консервативное лечение неэффективно)"
108,Оварское напряжение,"Внезапная и сильная боль в брюшной или тазовой полости с одной стороны, острая или ножительная боль, тошнота, рвота, лихорадка, быстрое сердцебиение, нежность в брюшной полости, раздутость, опухоль, боль во время полового сношения, аномальное кровотечение или пятно","Срочная медицинская помощь (так как яичник - это неотложная медицинская ситуация), визуализация (такие, как ультразвуковое или КТ-сканирование) для диагностики резиденции, хирургическое вмешательство (лапароскопическая или открытая хирургия) с целью растормаживания яичника и восстановления кровотока, удаление яичника (если он поврежден или нежизнеспособен), обезболивание (лекарства для обезболивания)"
109,Вагинальное дрожжевое заражение,"Зуд и раздражение во влагалище и вульве, красность и опухоль вульвы, белый, толстый, неуклюжий влагалищный слив (ремонтный коттеджный сыр), горящие ощущения во время мочеиспускания, боль во время полового сношения, сыпь или боль в затронутом районе",Пробиотики (для восстановления здоровой вагинальной флоры)
110,Мастуидит,"Боль в ушах (особенно за ухом), опухоль и красная уха или область за ухом, лихорадка, головная боль, потеря слуха или расстройство слуха, дренаж жидкости или гной из уша, ухо, раздражение (у младенцев и малолетних детей), нежность или боль при касании этой области, мастоидный выступ или опухоль","Антибиотики (устные или внутривенные) для лечения основной бактериальной инфекции, обезболивающие средства (такие, как ацетаминофен или ибупрофен) для лечения боли и лихорадки, ушные капли (если из ушей происходит дренирование), хирургическое вмешательство (в тяжелых или хронических случаях), такие, как мастоидектомия (ликвидация инфицированных мастоидных костных клеток) или установка тимпаностомии (для снятия давления и сливной жидкости из среднего уха), поддержка (рест, гидрация, теплое сжатие)"
111,Ушиб легких,"Боль в груди (сильное или скучное), затрудненное дыхание или нехватка дыхания, быстрое или мелкое дыхание, кашляние кровью или розовая слюна, снижение уровня кислорода, воспаление, цианоз (блюзное обесцвечивание кожи), синяки на груди, переломы ребер (сопутствующие травмы)","Поддержка (включая дополнительный кислород, обезболивание и дыхательную поддержку), мониторинг в больничной среде (для оценки легочной функции и общей стабильности), лечение сопутствующих травм (таких, как перелом ребер), лечение осложнений (таких, как пневмония или дыхательная недостаточность), предотвращение дальнейших осложнений (таких, как тромбоз в глубоких венах или язва давления), дыхательная терапия (включая упражнение дыхательных путей и методы очистки дыхательных путей), возможное использование механической вентиляции в тяжелых случаях"
112,Гипертрофическая осложнения кардиомиопатия (HOCM),"Недостаток дыхания, особенно во время физической активности или нагрузки, боли в груди или дискомфорта, головокружения или головокружения, обморок или близлежащие эпизоды, сердцебиение (быстрое или неправильное сердцебиение), усталость, опухоль в лодыжках, ногах или ногах","Лекарства для снятия симптомов и улучшения сердечной функции (такие, как бета-блокаторы, блокаторы каналов кальция и дисоптирамид), лекарства для предотвращения аномальных ритмов сердца (такие, как антиарритмические препараты), лекарства для сокращения свертывания крови (такие, как аспирин или антикоагуланты), имплантируемое кардиовертер-дефибриллятор (МЦД) (мониторинг и корректирование аномальных ритмов сердца), септальная миэктомия (хирургическое удаление части утолщенной сердечной мышцы), септальная абляция спиртного (уничтожение излишних сердечных мышц с инъекцией алкоголя), изменения в образ жизни (такие, как отказ от интенсивной деятельности, регулирование стресса и поддержание здорового веса), регулярные последующие посещения кардиолога"
113,Легкая эозинофилия,"Кашля, коротость дыхания, вонь, боль в груди, лихорадка, ночной пот, усталость, потеря веса, повышенный уровень эозинофильства в крови или слюны","Выявление и лечение коренных причин (таких, как паразитарные инфекции, лекарственные реакции или аллергические реакции), кортикостероидов (таких, как преднизон) для уменьшения воспаления, бронходиляторов (таких, как ингаляторы) для облегчения бронхоспасма и улучшения воздушного потока, антипастических препаратов (если выявляется паразитическая инфекция), иммунодепрессивных препаратов (в тяжелых случаях), предотвращения спусковых установок или аллергенов (если они выявлены), симптоматического лечения сопутствующих симптомов (таких, как лихорадка или кашля), регулярного мониторинга и последующих мер с участием специалиста в области здравоохранения"
114,Корнельные расстройства,"Боль в глазах или дискомфорт, красность или раздражение глаза, чрезмерные разрывы, чувствительность к свету (фотофобия), посторонние ощущения, сухость или чрезмерные слезы, ржавые ссадины или язвы, искаженная или неправильная форма кукурузы, потеря зрения","Лечение зависит от специфического роговического расстройства и может включать: искусственные слёзы или смазочные капли глаз, антибиотические или антифунгальные капли глаз (при наличии инфекции), кортикостероидные капли глаз или мазки (для уменьшения воспаления), повязки контактных линз, терапевтические контактные линзы, трансплантатацию роговицы (в тяжелых случаях), рефлексивные операции (такие, как LASIK или PRK) для корректирования зрения, защитное белье или солнечные очки, избежание раздражающих или спусковых устройств, регулярные осмотры глаз и мониторинг, изменения образа жизни (такие, как правильная гигиена глаз и предотвращение деформации глаз)"
115,Зарубежное тело в гастроинальном кишечном тракте,"Боль или дискомфорт, трудности с глотанием, удушение или удушение, слюни, тошнота или рвота, потеря аппетита, боль в груди или давление, дыхательные расстройства, кашляние или вихрь, кровотечение желудочно-кишечного кишечника, препятствование кишечнику, перфорация пищеварительного тракта","Наблюдение и мониторинг (для небольших, гладких и не гладких предметов, которые могут проходить через пищеварительный тракт без осложнений), эндоскопическое удаление (с использованием гибкой трубки с камерой для обнаружения и удаления иностранного тела), хирургическое вмешательство (в случае серьезных осложнений, крупных или острых предметов или неудачных попыток эндоскопического удаления), поддержка (таких, как внутривенные жидкости, обезболивание и антибиотики при наличии инфекции), визуальные исследования (такие, как рентгеновское или КТ-сканирование) для оценки местоположения и масштабов иностранного тела, консультации с гастроэнтерологом или хирургом для надлежащего управления"
116,Эндофтальмит,"Боль в глазах, красота, опухоль, размытое зрение, пониженное зрение, поплавки (темные пятна или паутины в видении), повышенная чувствительность к свету (фотофобия), вытягивание из глаза, чрезмерный разрыв, лихорадка","Незамедлительная медицинская помощь может включать в себя: внутривенные антибиотики или противо грибковые препараты, внутривитуальные инъекции (инъекции антибиотиков или антифунгальных агентов непосредственно в глаз), витректомию (хирургическое удаление гель-подобной жидкости в глазу), тематические или пероральные препараты (для лечения боли, воспаления или инфекции), частые последующие посещения офтальмолога, вспомогательные услуги (такие, как горячие компрессы или смазочные капли глаз)"
117,Ахалазия,Нелегкое проглатывание,"Расщепление шаров, хирургия, лекарства"
118,Потеря слуха,"Снижение чувствительности слуха, заглушенный или заблокированный звук","Лекарства, хирургическое вмешательство, слуховые аппараты"
119,Брюшная герня,"Видимая выпуклость или опухоль, дискомфорт или боль","Наблюдаемое ожидание, грыжи, хирургический ремонт, изменение образа жизни"
120,Жестокое обращение с Марихуаной,"Поврежденная память и сознание, измененные суждения, тревога","Поведенческая терапия, консультирование, группы поддержки, лекарства, детоксикация"
121,Криптококкоз,"Головная боль, лихорадка, усталость, кашель, менингит, пневмония","Антифунгальные препараты (например, амфотерицин В, флюконазол), вспомогательные услуги"
122,Ожирение,"Чрезмерный вес тела, повышенный риск хронических заболеваний","Антифунгальные препараты, например амфотерицин B, флюконазол, вспомогательные услуги"
123,Неразбериха,"Боль брюшной полости, бледность, изжога, тошнота, кислотный вкус","Изменения в образе жизни (например, изменения в рационе питания, снижение стресса), антациды, лекарственные препараты, терапия"
124,Бурсит,"Болезнь, опухоль, нежность, ограниченный диапазон движения","Отдых, лед, сжатие, возвышение (RICE терапия), обезболивающие, физиотерапия, инъекции стероидов"
125,Рак пищевода,"Тяжелое проглатывание, непреднамеренная потеря веса, боль в груди, шерсть","Хирургия, химиотерапия, радиационная терапия, адресная терапия, иммунотерапия, паллиативная помощь, клинические испытания"
126,Поглощение легких,"Недостаток дыхания, кашля, хрипа, усталости, дискомфорта в груди или туготы","Диуретика, лекарства для лечения основных заболеваний (например, сердечной недостаточности), кислородная терапия, изменения в образе жизни"
127,Ремутатоидный артрит несовершеннолетних,"Боль в суставах, опухоль, жесткость, ограниченный диапазон движения, жар, сыпь","Лекарства (СЭЙД, ДМАРД), физиотерапия, трудовая терапия, физические упражнения, ассистивные средства"
128,Актиник Кератоз,"Тяжелые, мягкие пятна на коже, как правило, в районах с солнцем","Тематические лекарства (например, фторуракил, имикимод, диклофенак), криотерапия, излечение"
129,Острый отит,"Боль в ушах, лихорадка, слив жидкости из уха, потеря слуха или заглушенный слух в поврежденном ухе","Антибиотики, обезболивающие (например, ацетаминофен, ибупрофен), тепловые компрессии, ушные капли, тимпаностомические трубки (в некоторых случаях)"
130,Астигматизм,"Проблеск или искажение зрения, деформация глаз, головные боли, даже кривизна роговицы","Очки, контактные линзы, рефрактивная хирургия (LASICK, PRK), ортопедология, торики внутриокульной линзы"
131,Клубничный склероз,"Бенигновые опухоли в различных органах, припадки, задержки развития, аномалии кожи","Лекарства (антисеврные, поведенческие и т.д.), хирургия (для удаления опухоли), терапия (физическая, профессиональная, речевая), воспитательные мероприятия, вспомогательные услуги, генетическое консультирование, мониторинг участия органов"
132,Эмпиема,"Жара, боль в груди, продуктивный кашель с вонючей или кровопролитной слюной","Антибиотики, дренажные системы (введение чехтов в трубку, грудное вскармливание), хирургическое вмешательство (декорация), вспомогательная помощь, лечение основной причины"
133,Пресбикус,"Постепенное снижение слуха, затруднение слышимого звука, звуки речи заглушены или неясны","Слуховые аппараты, вспомогательные слуховые аппараты, кохлеарные имплантаты (в тяжелых случаях), коммуникационные стратегии, консультации, регулярные оценки слуха"
134,Неонатальная жажда,"Желтый цвет кожи и глаз, бледные стулья, темная моча","Фототерапия, переливание крови (в тяжелых случаях), мониторинг уровня билирубина, устранение коренных причин (например, грудное вскармливание)"
135,Разъединение локтя,"Острая боль, видимая деформация, опухоль, неспособность сдвинуть локть, онемение или покалывание в руке/руке","Закрытое сокращение (осуществление костей без хирургической операции), иммобилизация (сплинт или кастрация), физиотерапия, обезболивание, хирургическое вмешательство (в сложных или повторяющихся случаях)"
136,Спондилиз,"Шея или боль в спине, жесткость, ограниченный диапазон движения, онемение или слабость в конечностях","Лекарства (безболезненные, мышечные релаксаторы), физиотерапия, упражнение, улучшение осанки, теплотерапия или холодная терапия, инъекции позвоночника, хирургия (в тяжелых случаях или в случае отказа консервативного лечения)"
137,Герпангина,"Горло болит, лихорадка, болезненные раны или волдыри во рту и горле, трудности с глоткой, потеря аппетита","Симптоматическое облегчение (обезболивающие средства, лизинги горла, лизины для рта), отдых, жидкость, поддержание хорошей гигиены полости рта, недопущение острой или кислотной пищи"
138,Отравление от антидепрессантов,"Тошнота, рвота, сонливость, головокружение, путаница, припадки, изменения в сердечном ритме, низкое кровяное давление, респираторные расстройства","Незамедлительно обратиться за медицинской помощью или связаться с центром токсикологического контроля, активированным древесным углем (если указано), вспомогательным обслуживанием (обслуживание жизненно важных признаков, управление дыхательными путями), гастричным туалетом (в некоторых случаях), управлением антидотами (если таковые имеются и имеются), мониторингом и лечением осложнений"
139,Инфекция открытых ран,"Красная, опухоль, теплота, боль или нежность на месте раны, гной или дренаж от раны, лихорадка, болезнь","Очистка и орошение раны, антибиотическая терапия (устная или внутривенная), повязка ран, обезвоживание ран (в случае необходимости), профилактика столбняка"
140,Недостаток протеина,"Мышечное истощение, усталость, слабость, замедленное заживление ран, опухоль конечностей, потеря волос, слабая неприкосновенность","Увеличение потребления белка через рацион питания (леновое мясо, рыба, молочные продукты, бобовые, орехи), белковые добавки, консультирование по вопросам питания, устранение коренных причин (например, малабсорбция)"
141,Миоклонус,"Внезапные, короткие мышечные схватки или придурки, часто затрагивающие руки, ноги или лицо","Выявление и лечение коренных причин (например, коррекция лекарств, метаболический дисбаланс), лекарств (антизащитные препараты, транквилизаторы), физиотерапия, поддержка"
142,Костная шпура Кальканея,"Горячая боль, особенно при ходьбе или стоянии, нежность, опухоль, воспаление окружающих тканей","Нестероидные противовоспалительные препараты (НСВД), ортотические устройства, физиотерапия, растягивание, модификация обуви, инъекции кортикостероидов, хирургическое удаление (в тяжелых случаях)"
143,Болезнь фон Виллебранда,"Легкие или чрезмерные синяки, продолжительное или чрезмерное кровотечение от порезов или травм, частое кровотечение в носу, тяжелые или продолжительные менструальные периоды, кровотечение десен, кровь в моче или стуле","Демопрессин (DAVP), заместительная терапия с использованием фактора фон Виллебранда (ВФП) концентрата или криоппиента, пероральные противозачаточные средства (для женщин с тяжелым менструальным кровотечением), отказ от некоторых лекарственных средств, меры предосторожности в области зубоврачебной помощи, регулярный медицинский контроль"
144,Блок сердца,"Усталость, головокружение, обморок, боль в груди или дискомфорт, слабое дыхание, нерегулярные ритмы сердца","Лекарства (такие, как бета-блокаторы, блокаторы каналов кальция), имплантация кардиостимулятора (в тяжелых случаях или симптоматический сердечный блок), регулирование основных условий"
145,Колониальная полип,"Большинство колонических полипов не вызывают симптомов, некоторые более крупные полипы или некоторые виды могут вызывать кровотечение в ректальном состоянии или изменения в привычках кишечника, таких, как диарея или запор.","Полипектомия (абсорбция полипа во время колоноскопии), слежка за колоноскопией (регулярный мониторинг рецидивов или новых полипов), изменение образа жизни (здоровое питание, регулярные упражнения, прекращение курения), последующие действия на основе результатов патологии"
146,Гипопадия,"Ненормальное положение уретрального отверстия на нижней стороне пениса, кривизна пениса, опрыскивание мочи, трудности с мочеиспусканием","Хирургический ремонт (хипоспадия, хирургия), гормональная терапия (в некоторых случаях), консультирование и поддержка ребенка и семьи"
147,Недостаток магния,"Мышечные тряски или спазмы, усталость, слабость, потеря аппетита, тошнота, рвота, раздражение, душевное расстройство, неправильное сердцебиение, покалывание или онемение, изменения личности, припадки","Изменения в рационе питания (потребляющие продукты с высоким содержанием магния), добавки перорального магния, внутривенная магниевая терапия (в тяжелых случаях), устранение коренных причин (например, малабсорбция), медицинское наблюдение и мониторинг"
